MMSI,时间(Local),Unix时间戳,视觉类别,原始类别描述,原始类别编码,航行状态,纬度,经度,航速,航向,船首向,船长,船宽
413498530,2025-12-04 14:05:12,1764828312.407,oil tanker,油轮-通用,80.0,,38.897377,117.851867,,117.5,511.0,54.0,9.0
413368420,2025-12-04 14:05:12,1764828312.79,other,其他-通用,90.0,,38.893935,117.845845,0.1,49.9,511.0,49.0,18.0
413294390,2025-12-04 14:05:13,1764828313.19,oil tanker,油轮-通用,80.0,锚泊,38.887983,117.843383,,42.5,511.0,65.0,12.0
413424590,2025-12-04 14:05:16,1764828316.498,other,疏浚/水下作业,33.0,在航(使用引擎),38.915315,117.821508,,360.0,511.0,45.0,18.0
413305490,2025-12-04 14:05:18,1764828318.672,tug,拖轮(Tug),52.0,在航(使用引擎),38.93529,117.803125,,169.2,511.0,40.0,10.0
477637600,2025-12-04 14:05:18,1764828318.865,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.936773,118.014613,13.8,283.2,285.0,335.0,48.0
413234450,2025-12-04 14:05:19,1764828319.256,other,其他-通用,90.0,在航(使用引擎),38.88116,117.845293,0.1,267.5,511.0,49.0,19.0
414896000,2025-12-04 14:05:19,1764828319.455,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.988837,117.79048,,318.2,348.0,197.0,35.0
4125055,2025-12-04 14:05:20,1764828320.415,other,Unknown,,,38.97578,117.787518,,,,,
413208360,2025-12-04 14:05:20,1764828320.445,oil tanker,油轮-通用,80.0,,38.986313,117.79344,,333.1,511.0,52.0,9.0
413788361,2025-12-04 14:05:22,1764828322.941,other,其他-通用,90.0,系泊(Moored),38.924855,117.821297,,12.4,511.0,153.0,36.0
413304760,2025-12-04 14:05:24,1764828324.809,tug,拖轮(Tug),52.0,在航(使用引擎),38.947502,117.773085,10.5,107.9,87.0,35.0,13.0
413424590,2025-12-04 14:05:26,1764828326.007,other,疏浚/水下作业,33.0,在航(使用引擎),38.915318,117.821507,,360.0,511.0,45.0,18.0
413234450,2025-12-04 14:05:28,1764828328.072,other,其他-通用,90.0,在航(使用引擎),38.88116,117.845293,,267.5,511.0,49.0,19.0
413506660,2025-12-04 14:05:32,1764828332.324,oil tanker,油轮-通用,80.0,,38.902078,117.852477,0.2,190.2,511.0,54.0,10.0
413424590,2025-12-04 14:05:36,1764828336.016,other,疏浚/水下作业,33.0,在航(使用引擎),38.915312,117.821505,,360.0,511.0,45.0,18.0
373146000,2025-12-04 14:05:36,1764828336.352,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.945067,117.77005,,231.0,288.0,200.0,32.0
413703280,2025-12-04 14:05:38,1764828338.158,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.9154,117.817933,,307.5,198.0,105.0,16.0
413208360,2025-12-04 14:05:38,1764828338.447,oil tanker,油轮-通用,80.0,系泊(Moored),38.98631,117.793437,,333.1,511.0,52.0,9.0
413234450,2025-12-04 14:05:38,1764828338.91,other,其他-通用,90.0,在航(使用引擎),38.88116,117.845293,0.1,267.5,511.0,49.0,19.0
4125001,2025-12-04 14:05:39,1764828339.822,other,Unknown,,,38.981438,117.805335,,,,,
413424590,2025-12-04 14:05:45,1764828345.398,other,疏浚/水下作业,33.0,在航(使用引擎),38.915307,117.821503,,360.0,511.0,45.0,18.0
413506660,2025-12-04 14:05:46,1764828346.56,oil tanker,油轮-通用,80.0,,38.90208,117.85248,0.4,190.2,511.0,54.0,10.0
477925600,2025-12-04 14:05:48,1764828348.352,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.965828,117.797947,,210.3,281.0,325.0,52.0
413234450,2025-12-04 14:05:48,1764828348.508,other,其他-通用,90.0,在航(使用引擎),38.88116,117.845293,0.1,267.5,511.0,49.0,19.0
414034000,2025-12-04 14:05:51,1764828351.953,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935073,117.802732,,192.2,291.0,225.0,32.0
413272580,2025-12-04 14:05:51,1764828351.981,other,Unknown,,锚泊,38.879133,117.84035,0.2,267.8,267.0,53.0,9.0
413424590,2025-12-04 14:05:55,1764828355.053,other,疏浚/水下作业,33.0,在航(使用引擎),38.9153,117.821515,,360.0,511.0,45.0,18.0
413272420,2025-12-04 14:05:56,1764828356.093,oil tanker,油轮-通用,80.0,,38.89816,117.856638,0.1,111.3,111.0,53.0,9.0
538007644,2025-12-04 14:05:56,1764828356.765,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.920367,117.818033,,305.0,200.0,189.0,32.0
413368420,2025-12-04 14:05:57,1764828357.768,other,其他-通用,90.0,,38.893915,117.84582,0.1,49.9,511.0,49.0,18.0
413234450,2025-12-04 14:05:58,1764828358.726,other,其他-通用,90.0,在航(使用引擎),38.88116,117.845293,,267.5,511.0,49.0,19.0
413211570,2025-12-04 14:06:01,1764828361.162,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.964513,117.805107,,196.1,281.0,189.0,30.0
414034000,2025-12-04 14:06:01,1764828361.416,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935073,117.802732,,192.2,291.0,225.0,32.0
413424590,2025-12-04 14:06:04,1764828364.008,other,疏浚/水下作业,33.0,在航(使用引擎),38.915298,117.821522,,360.0,511.0,45.0,18.0
994141153,2025-12-04 14:06:04,1764828364.087,other,Unknown,,,38.934773,117.803188,,,,2.0,2.0
413305910,2025-12-04 14:06:08,1764828368.176,oil tanker,油轮-通用,80.0,锚泊,38.912557,117.861267,0.5,265.6,,52.0,9.0
413234450,2025-12-04 14:06:08,1764828368.27,other,其他-通用,90.0,在航(使用引擎),38.881163,117.845293,,267.5,511.0,49.0,19.0
413304980,2025-12-04 14:06:08,1764828368.75,tug,拖轮(Tug),52.0,系泊(Moored),38.981927,117.796503,0.1,256.6,315.0,69.0,15.0
